Violation Record Name,Test Score - School name,Proficiency,Violation counts,PSS Name,PSS_CITY,DAYS PER SCHOOL YEAR,DAY HOURS,PSS_LIBRARY,PSS_ENROLL_T,PSS_RELIG,PSS_INDIAN_PCT,PSS_ASIAN_PCT,PSS_HISP_PCT,PSS_BLACK_PCT,PSS_WHITE_PCT,PSS_STUDENT_TEACHER_RATIO,PSS_ORIENT
CHURCHILL SCHOOL & CENTER,CHURCHILL SCHOOL-CENTER,0.00%,1,THE CHURCHILL SCHOOL & CENTER,NEW YORK,180,6.75,,398,3,0,2.51,10.55,8.79,63.81,3.01,30
YESHIVA KARLIN STOLIN,YESHIVA KARLIN STOLIN,1.79%,1,YESHIVA KARLIN STOLIN,BROOKLYN,225,8.5,,548,2,0,0,0,0,100,8.6,18
YESHIVA OF CROWN HEIGHTS,CROWN HEIGHTS YESHIVAH,26.84%,1,YESHIVAH OF CROWN HEIGHTS,BROOKLYN,170,7.5,,324,2,0,0,0,1.51,98.48,11.94,18
EAST HARLEM SCHOOL AT EXODUS HOUSE,EAST HARLEM-EXODUS HOUSE,50.00%,0,EAST HARLEM SCHOOL AT EXODUS HOUSE,NEW YORK,189,9,,122,3,0,0.81,83.6,15.57,0,9.38,30
HOLY FAMILY SCHOOL,HOLY FAMILY ELEMENTARY SCHOOL,43.53%,0,HOLY FAMILY SCHOOL,BRONX,180,7,,223,1,0,16.66,64.03,14.03,1.75,10.55,1
LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,LUTHERAN SCHOOL,10.94%,0,LUTHERAN SCHOOL OF FLUSHING & BAYSIDE,BAYSIDE,180,7,,104,2,0,28.2,7.69,12.82,35.89,8.12,20
NEW COVENANT CHRISTIAN SCHOOL(Enter kitchen 1179 Boston Road Pre K),NEW COVENANT CHRISTIAN,48.99%,0,NEW COVENANT CHRISTIAN SCHOOL,BRONX,180,6.33,,145,2,0,0.88,2.65,96.46,0,9.11,8
NOTRE DAME SCHOOL,NOTRE DAME HIGH SCHOOL,41.83%,0,NOTRE DAME ACADEMY HIGH SCHOOL,STATEN ISLAND,180,6.75,,402,1,0.24,5.97,8.95,2.98,81.09,19.32,1
OUR LADY OF HOPE CATHOLIC ACADEMY,OUR LADY OF HOPE,83.16%,0,OUR LADY OF HOPE CATHOLIC ACADEMY,MIDDLE VILLAGE,180,6,,544,1,0,0.81,2.84,0.81,93.49,18.85,1
SAINT FRANCIS OF ASSISI SCHOOL,ST FRANCIS OF ASSISI,51.05%,0,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,BROOKLYN,178,7,,237,1,0,0,11.73,87.15,1.11,14.91,1
ST. FRANCIS OF ASSISI CATHOLIC ACADEMY,ST FRANCIS OF ASSISI,51.05%,0,ST FRANCIS OF ASSISI CATHOLIC ACADEMY,BROOKLYN,178,7,,237,1,0,0,11.73,87.15,1.11,14.91,1
ST.LGNATIUS LOYOLA PRESCHOOL,ST IGNATIUS LOYOLA,95.79%,0,ST IGNATIUS LOYOLA SCHOOL,NEW YORK,176,6,,573,1,0.19,12.88,4.61,0.96,74.03,17.56,1
ST MICHAEL CATHOLIC ACADEMY,ST MICHAEL CATHOLIC,59.85%,0,ST MEL CATHOLIC ACADEMY,FLUSHING,180,7,,173,1,0,14.47,15.78,1.31,59.21,12.06,1
ST. PAUL SCHOOL,ST PAUL SCHOOL,34.14%,0,ST PAUL SCHOOL,NEW YORK,180,7.5,,177,1,0,3.95,44.06,46.32,2.82,13.2,1
ST. STANISLAUS KOSTKA SCHOOL,ST STANISLAUS KOSTKA,62.17%,0,ST STANISLAUS KOSTKA CATHOLIC ACADEMY,BROOKLYN,180,6.5,,213,1,0,6.28,7.42,1.71,84.57,12.96,1
ST. THOMAS THE APOSTLE CATHOLIC ACADEMY,ST THOMAS THE APOSTLE,48.43%,0,ST THOMAS THE APOSTLE CATHOLIC ACADEMY,WOODHAVEN,177,7,,205,1,0,2.59,94.8,1.29,1.29,11.57,1
YESHIVAH TIFERES TORAH,TALMUD TORAH TIFERES YECHIEL,0.00%,0,TALMUD TORAH TIFERES YECHIEL D'ALEKSANDER INC,BROOKLYN,,,,258,2,0,0,0,0,100,28.14,18
YESHIVA YESODE HATORAH,YESHIVA YESODE HATORAH,0.00%,0,YESHIVA YESODE HATORAH,BROOKLYN,235,10,,183,2,0,0,0,0,100,12.96,18
YESHIVA KEHILATH YAKOV,YESHIVA KEHILATH YAKOV,0.24%,16,, , , , , , , , , , , , , 
CONGREGATION MACHNA SHALVA,CONGREGATION MACHNA SHALVA,30.14%,15,, , , , , , , , , , , , , 
CENTRAL UTA,CENTRAL UTA-MONSEY - GIRLS,2.94%,13,, , , , , , , , , , , , , 
BETH JACOB ES,BETH JACOB ES,45.99%,6,, , , , , , , , , , , , , 
MOSDOS SATMAR BP (GIRLS),MOSDOS SATMAR BP,0.00%,6,, , , , , , , , , , , , , 
BIG APPLE EDUCATIONAL CENTER,BIG APPLE INSTITUTE INC,93.56%,5,, , , , , , , , , , , , , 
BNOS SPINKA,BNOS SPINKA BOYS,0.00%,5,, , , , , , , , , , , , , 
LEARN AND EXPLORE ACADEMY,LEARN AND EXPLORE,87.62%,5,, , , , , , , , , , , , , 
MOSDOS CHASIDA SQUARE T.T.Y.,MOSDOS CHASIDEI-T Y Y BORO,0.00%,5,, , , , , , , , , , , , , 
YESHIVA TOLDOS YESUSCHER,YESHIVA TOLDOS YESUSCHER,0.00%,5,, , , , , , , , , , , , , 
ALMADRASA AL ISLAMIYA,AL MADRASA AL ISLAMIYA,51.90%,4,, , , , , , , , , , , , , 
BAIS ESTHER SCHOOL,BAIS ESTHER SCHOOL,29.65%,4,, , , , , , , , , , , , , 
BETH JACOB OF BORO PARK,BETH JACOB-BORO PARK,41.85%,4,, , , , , , , , , , , , , 
BETH RIVKAH HS,BETH RIVKAH SCHOOL,38.60%,4,, , , , , , , , , , , , , 
BNOS SPINKA SCHOOL,BNOS SPINKA BOYS,0.00%,4,, , , , , , , , , , , , , 
EPIPHANY LOWER SCHOOL,EPIPHANY SCHOOL,91.71%,4,, , , , , , , , , , , , , 
GOOD SHEPHERD SCHOOL,TILTON SCHOOL-GOOD SHEPHERD,1.19%,4,, , , , , , , , , , , , , 
SAINT JOSEPH'S SCHOOL - YORKVILLE,ST JOSEPH'S -YORKVILLE,84.02%,4,, , , ,, , , , , , , , , 
ST. JOHN'S LUTHERAN SCHOOL,LUTHERAN SCHOOL,10.94%,4,, , , ,, , , , , , , , , 
YESHIVA MESIVTA ARUGATH,YESHIVA MESIVTA ARUGATH HABOS,0.00%,4,, , , ,, , , , , , , , , 
YESHUOS MOSHE OF WILLIAMSBURG,CONG YESHUOS MOSHE,0.00%,4,, , , ,, , , , , , , , , 
BETH JACOB SCHOOL FOR GIRLS,BETH JACOB SCHOOL -GIRLS,39.84%,3,, , , ,, , , , , , , , , 
